epoch,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr
0,1.035125971,0.605958939,1.56186974,0.517377555,0.001
1,0.970501661,0.63239938,1.52304244,0.572669804,0.001
2,0.935554087,0.640292048,1.60495913,0.531595588,0.001
3,0.935921371,0.641673267,1.007869005,0.618483424,0.001
4,0.900776207,0.644830287,1.027921438,0.614533961,0.001
5,0.904290318,0.647790074,1.042940736,0.605845153,0.001
6,0.842903614,0.666535139,0.940140724,0.624012649,0.0001
7,0.799273849,0.683109701,0.966299713,0.620853066,0.0001
8,0.782405794,0.690015793,0.965574145,0.605845153,0.0001
9,0.741189122,0.704419911,0.970098853,0.632701397,1.00E-05
